UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
527,lap_2019_07_site06,72,1,0.85596181,1,1,0.85596181,0.85596181,1,1
528,lap_2019_07_site06,73,1,0.285715412,0.238486903,0.519936918,0.211837623,0.285648996,0.312364648,0.520003337
529,lap_2019_07_site06,79,0.956573797,0.076139711,0.015681979,0.092037094,0.014704422,0.068066333,0.077117259,0.100110612
530,lap_2019_07_site06,80,1,0.835273724,0.782999196,0.884899421,0.72131479,0.808447583,0.896958038,0.911725358
531,lap_2019_07_site06,81,1,0.930449007,0.959831686,0.999999638,0.902203734,0.930449007,0.988077185,0.999999638
532,lap_2019_07_site06,82,1,0.687856622,0.613634335,0.876362748,0.560572044,0.687856622,0.740918936,0.876362748
533,lap_2019_07_site06,83,1,0.094175137,0.425517462,0.462134665,0.092003453,0.093718604,0.42768916,0.462591213
534,lap_2019_07_site06,84,0.930931909,0.00106968,0.00364401,0.011498604,0.00106968,0.00106968,0.00364401,0.011498604
535,lap_2019_07_site06,91,1,0.075484314,0.015679355,0.116289224,0.015679355,0.07126675,0.075484314,0.12050699
536,lap_2019_07_site06,92,0.99803125,0.087244525,0.006422818,0.075793832,0.006422818,0.067340557,0.087244525,0.095697679
537,lap_2019_07_site06,53,0.815677443,0,0.022370312,0.022370312,0,0,0.022370312,0.022370312
538,lap_2019_07_site06,63,0.903150134,0,0.001758514,0.02488691,0,0,0.001758514,0.02488691
539,lap_2019_07_site06,19,0.671969217,0,0,0.018418831,0,0,0,0.018418831
540,lap_2019_07_site06,46,0.102111368,0,0,0.004462124,0,0,0,0.004462124
541,lap_2019_07_site06,47,0.648498395,0,0,0.056979935,0,0,0,0.056979935
542,lap_2019_07_site06,16,0.421449695,0.00576013,0,0,0,0,0.005760131,0.005760131
,,,,,,,,,,
,,,,,,,,,,
