Site,FID_Fishnet,mangrove_area,nonmangrove_area,total_area,gridcode
lap_2018-07_site01,48373,235.4319175,320.3731697,555.8050872,105
lap_2018-07_site01,48374,121.9220349,433.8860586,555.8080935,104
lap_2018-07_site01,48375,41.12726135,514.6793495,555.8066109,4
lap_2018-07_site01,48376,32.94008101,522.8658369,555.8059179,3
lap_2018-07_site01,48377,263.2740801,292.5317529,555.805833,4
lap_2018-07_site01,48378,392.3171085,163.4913986,555.808507,105
lap_2018-07_site01,48379,71.77140179,484.0362106,555.8076123,107
lap_2018-07_site01,48380,9.607707594,546.2000342,555.8077418,106
lap_2018-07_site01,48381,19.08420424,536.7195443,555.8037485,4
lap_2018-07_site01,48382,0,542.3829988,542.3829988,1
lap_2018-07_site01,48383,0,87.57766163,87.57766163,0
lap_2018-07_site01,56522,0,311.4869351,311.4869351,0
lap_2018-07_site01,56523,0,555.0768409,555.0768409,0
lap_2018-07_site01,56524,0,555.8052511,555.8052511,0
lap_2018-07_site01,56525,29.26522778,526.5425793,555.807807,0
lap_2018-07_site01,56526,34.28088623,521.5251741,555.8060603,0
lap_2018-07_site01,56527,74.24277418,481.5636941,555.8064683,0
lap_2018-07_site01,56528,40.52512841,515.2795427,555.8046711,0
lap_2018-07_site01,56529,0.571964795,555.2341828,555.8061476,1
lap_2018-07_site01,56530,68.53727536,487.2692914,555.8065668,4
lap_2018-07_site01,56531,508.5170579,47.28786821,555.8049261,106
lap_2018-07_site01,56532,555.8047415,0,555.8047415,108
lap_2018-07_site01,56533,555.8054326,0,555.8054326,108
lap_2018-07_site01,56534,555.8061235,0,555.8061235,107
lap_2018-07_site01,56535,474.29681,81.50858803,555.8053981,106
lap_2018-07_site01,56536,50.75570438,505.0487,555.8044043,105
lap_2018-07_site01,56537,479.9849025,75.82134741,555.8062499,106
lap_2018-07_site01,56538,555.8073835,0,555.8073835,107
lap_2018-07_site01,56539,448.5596176,107.243685,555.8033026,108
lap_2018-07_site01,56540,286.4253514,269.381204,555.8065554,106
lap_2018-07_site01,56541,0,555.8047571,555.8047571,4
lap_2018-07_site01,56542,0,555.8054481,555.8054481,1
lap_2018-07_site01,56543,0,431.0934545,431.0934545,0
lap_2018-07_site01,56544,0,27.41143089,27.41143089,0
lap_2018-07_site01,64682,0,440.6832653,440.6832653,0
lap_2018-07_site01,64683,0,555.8043938,555.8043938,0
lap_2018-07_site01,64684,13.31063763,542.4939943,555.8046319,1
lap_2018-07_site01,64685,119.9998171,435.8098907,555.8097077,2
lap_2018-07_site01,64686,213.517003,342.2892376,555.8062406,3
lap_2018-07_site01,64687,155.5142546,400.2922119,555.8064665,3
lap_2018-07_site01,64688,130.7279358,425.0786685,555.8066043,3
